date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-04-17,9.08,9.11,9.1,9.05,531892.19,0.02,0.22,9.114,9.153,9.167,489521.94,493046.11,612456.47,0.31
2017-04-14,9.11,9.12,9.08,9.06,490500.47,-0.04,-0.44,9.13,9.151,9.188,463412.28,508585.44,617659.55,0.29
2017-04-13,9.11,9.14,9.12,9.1,357442.56,0.0,0.0,9.154,9.154,9.208,468281.14,519649.46,620462.57,0.21
2017-04-12,9.16,9.17,9.12,9.1,455336.53,-0.03,-0.33,9.17,9.154,9.224,483670.92,532042.48,622814.66,0.27
2017-04-11,9.17,9.19,9.15,9.09,612437.94,-0.03,-0.33,9.188,9.156,9.24,492433.63,585010.03,627313.05,0.36
2017-04-10,9.2,9.21,9.18,9.17,401343.91,-0.02,-0.22,9.192,9.16,9.252,496570.28,594849.02,616200.27,0.24
2017-04-07,9.19,9.22,9.2,9.17,514844.75,0.0,0.0,9.172,9.162,9.262,553758.6,598073.46,615041.57,0.3
2017-04-06,9.2,9.22,9.2,9.17,434391.47,-0.01,-0.11,9.154,9.158,9.273,571017.79,603201.35,601521.25,0.26
2017-04-05,9.16,9.22,9.21,9.15,499150.09,0.04,0.44,9.138,9.162,9.286,580414.04,615227.07,594535.32,0.3
2017-03-31,9.08,9.18,9.17,9.08,633121.19,0.09,0.99,9.124,9.166,9.298,677586.44,636814.24,589803.38,0.37
2017-03-30,9.12,9.12,9.08,9.06,687285.5,-0.03,-0.33,9.128,9.18,9.309,693127.76,731866.82,575280.08,0.41
2017-03-29,9.13,9.15,9.11,9.09,601140.69,-0.01,-0.11,9.152,9.224,9.327,642388.32,726733.65,561097.24,0.36
2017-03-28,9.16,9.17,9.12,9.1,481372.75,-0.02,-0.22,9.162,9.261,9.346,635384.9,721275.67,548389.89,0.28
2017-03-27,9.12,9.19,9.14,9.08,985012.06,-0.05,-0.54,9.186,9.293,9.364,650040.1,713586.83,542807.24,0.58
2017-03-24,9.2,9.24,9.19,9.16,710827.81,-0.01,-0.11,9.208,9.323,9.378,596042.04,669616.07,513923.69,0.42
2017-03-23,9.16,9.24,9.2,9.15,433588.28,0.04,0.44,9.232,9.344,9.394,770605.88,637551.52,495007.31,0.26
2017-03-22,9.2,9.22,9.16,9.14,566123.62,-0.08,-0.87,9.296,9.362,9.409,811078.99,632009.68,490094.28,0.33
2017-03-21,9.25,9.26,9.24,9.2,554648.75,-0.01,-0.11,9.36,9.388,9.43,807166.44,599841.16,484936.41,0.33
2017-03-20,9.29,9.31,9.25,9.22,715021.75,-0.06,-0.64,9.4,9.409,9.446,777133.56,573843.56,489533.18,0.42
2017-03-17,9.45,9.46,9.31,9.3,1583647.0,-0.21,-2.21,9.438,9.429,9.462,743190.1,542792.53,498719.86,0.94
2017-03-16,9.48,9.53,9.52,9.45,635953.81,0.04,0.42,9.456,9.438,9.466,504497.15,418693.34,440726.26,0.38
2017-03-15,9.42,9.48,9.48,9.42,546560.88,0.04,0.42,9.428,9.429,9.463,452940.37,395460.83,429486.63,0.32
2017-03-14,9.43,9.46,9.44,9.41,404484.38,0.0,0.0,9.416,9.43,9.461,392515.88,375504.11,439989.23,0.24
2017-03-13,9.39,9.45,9.44,9.37,545304.44,0.04,0.43,9.418,9.434,9.459,370553.56,372027.64,437885.24,0.32
2017-03-10,9.38,9.41,9.4,9.36,390182.25,0.02,0.21,9.42,9.433,9.458,342394.95,358231.31,442538.26,0.23
2017-03-09,9.41,9.43,9.38,9.36,378169.91,-0.04,-0.42,9.42,9.443,9.454,332889.52,352463.1,447166.31,0.22
